"Statistic","Year","Northern Ireland"
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2004,0.076
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2005,0.083
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2006,0.07
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2007,0.066
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2008,0.063
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2009,0.049
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2010,0.052
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2011,0.058
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2012,0.047
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2013,0.053
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2014,0.064
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2015,0.059
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2016,0.067
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2017,0.066
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2018,0.068
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2019,0.063
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2020,0.067
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2021,0.071
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2022,0.073
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2023,0.062
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2024,0.065
"Levels of nutrients in our rivers as measured by soluble reactive phosphorus (mg/l)",2025,0.07
